nama_kabel;kategori;kode_desain
  Cu/PVC (NYA) 1.5 mm2 re 450/750 V;Building Wire;11-10011-01
  Cu/PVC (NYA) 1.5 mm2 re 450/750 V;Building Wire;11-10011-02
  Cu/PVC (NYA) 1.5 mm2 re 450/750 V;Building Wire;11-10011-03
  Cu/PVC (NYA) 1.5 mm2 re 450/750 V;Building Wire;11-10011-04
  Cu/PVC (NYA) 1.5 mm2 re 450/750 V;Building Wire;11-10011-07
  Cu/PVC (NYA) 1.5 mm2 re 450/750 V;Building Wire;11-10011-05
  Cu/PVC (NYA) 1.5 mm2 rm 450/750 V;Building Wire;11-10051-01
  Cu/PVC (NYA) 1.5 mm2 rm 450/750 V;Building Wire;11-10051-02
  Cu/PVC (NYA) 1.5 mm2 rm 450/750 V;Building Wire;11-10051-03
  Cu/PVC (NYA) 1.5 mm2 rm 450/750 V;Building Wire;11-10051-04
  Cu/PVC (NYA) 1.5 mm2 rm 450/750 V;Building Wire;11-10051-05
  Cu/PVC (NYA) 10 mm2 re 450/750 V;Building Wire;11-10021-01
  Cu/PVC (NYA) 10 mm2 re 450/750 V;Building Wire;11-10039-01
  Cu/PVC (NYA) 10 mm2 re 450/750 V;Building Wire;11-10039-12
  Cu/PVC (NYA) 2.5 mm2 re 450/750 V;Building Wire;11-10012-01
  Cu/PVC (NYA) 2.5 mm2 re 450/750 V;Building Wire;11-10012-02
  Cu/PVC (NYA) 2.5 mm2 re 450/750 V;Building Wire;11-10012-03
  Cu/PVC (NYA) 2.5 mm2 re 450/750 V;Building Wire;11-10012-04
  Cu/PVC (NYA) 2.5 mm2 re 450/750 V;Building Wire;11-10012-05
  Cu/PVC (NYA) 2.5 mm2 re 450/750 V;Building Wire;11-10012-07
  Cu/PVC (NYA) 2.5 mm2 rm 450/750 V;Building Wire;11-10052-01
  Cu/PVC (NYA) 2.5 mm2 rm 450/750 V;Building Wire;11-10052-02
  Cu/PVC (NYA) 2.5 mm2 rm 450/750 V;Building Wire;11-10052-03
  Cu/PVC (NYA) 2.5 mm2 rm 450/750 V;Building Wire;11-10052-04
  Cu/PVC (NYA) 2.5 mm2 rm 450/750 V;Building Wire;11-10052-05
  Cu/PVC (NYA) 4 mm2 re 450/750 V;Building Wire;11-10034-01
  Cu/PVC (NYA) 4 mm2 re 450/750 V;Building Wire;11-10034-02
  Cu/PVC (NYA) 4 mm2 re 450/750 V;Building Wire;11-10034-03
  Cu/PVC (NYA) 4 mm2 re 450/750 V;Building Wire;11-10034-04
  Cu/PVC (NYA) 4 mm2 re 450/750 V;Building Wire;11-10034-05
  Cu/PVC (NYA) 4 mm2 re 450/750 V;Building Wire;11-10019-01
  Cu/PVC (NYA) 4 mm2 re 450/750 V;Building Wire;11-10019-02
  Cu/PVC (NYA) 4 mm2 re 450/750 V;Building Wire;11-10019-03
  Cu/PVC (NYA) 4 mm2 re 450/750 V;Building Wire;11-10019-04
  Cu/PVC (NYA) 4 mm2 re 450/750 V;Building Wire;11-10034-05
  Cu/PVC (NYA) 6 mm2 re 450/750 V;Building Wire;11-10037-01
  Cu/PVC (NYA) 6 mm2 re 450/750 V;Building Wire;11-10037-03
  Cu/PVC (NYA) 6 mm2 re 450/750 V;Building Wire;11-10037-10
  Cu/PVC/PVC (NYM) 2 x 1.5 mm2 re 300/500 V;Building Wire;11-10010-01
  Cu/PVC/PVC (NYM) 2 x 1.5 mm2 re 300/500 V;Building Wire;11-10010-03
  Cu/PVC/PVC (NYM) 2 x 2.5 mm2 re 300/500 V;Building Wire;11-10033-01
  Cu/PVC/PVC (NYM) 2 x 2.5 mm2 re 300/500 V;Building Wire;11-10033-02
  Cu/PVC/PVC (NYM) 3 x 1.5 mm2 re 300/500 V;Building Wire;11-10024-01
  Cu/PVC/PVC (NYM) 3 x 1.5 mm2 re 300/500 V;Building Wire;11-10024-02
  Cu/PVC/PVC (NYM) 3 x 2.5 mm2 re 300/500 V;Building Wire;11-10009-02
  Cu/PVC/PVC (NYM) 3 x 2.5 mm2 re 300/500 V;Building Wire;11-10009-01
  Cu/PVC/PVC (NYM) 3 x 4 mm2 re 300/500 V;Building Wire;11-10022-01
  Cu/PVC/PVC (NYM) 3 x 4 mm2 re 300/500 V;Building Wire;11-10022-02
  Cu/PVC/PVC (NYM) 3 x 6 mm2 re 300/500 V;Building Wire;11-10038-02
  Cu/PVC/PVC (NYM) 4 x 1.5 mm2 re 300/500 V;Building Wire;11-10032-01
  Cu/PVC/PVC (NYM) 4 x 1.5 mm2 re 300/500 V;Building Wire;11-10032-02
  Cu/PVC/PVC (NYM) 4 x 2.5 mm2 re 300/500 V;Building Wire;11-10023-01
  Cu/PVC/PVC (NYM) 4 x 2.5 mm2 re 300/500 V;Building Wire;11-10023-04
  Cu/PVC/PVC (NYM) 4 x 4 mm2 re 300/500 V;Building Wire;11-10036-01
  Cu/PVC/PVC (NYM) 4 x 4 mm2 re 300/500 V;Building Wire;11-10036-02
  Cu/PVC/PVC (NYM) 4 x 6 mm2 re 300/500 V;Building Wire;11-10050-02
  Cu/PVC/PVC (NYY) 12 x 1.5 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10147-01
  Cu/PVC/PVC (NYY) 14 x 1.5 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10643-01
  Cu/PVC/PVC (NYY) 2 x 1.5 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10131-01
  Cu/PVC/PVC (NYY) 2 x 1.5 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10131-02
  Cu/PVC/PVC (NYY) 2 x 2.5 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10123-01
  Cu/PVC/PVC (NYY) 2 x 2.5 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10123-02
  Cu/PVC/PVC (NYY) 2 x 4 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10155-01
  Cu/PVC/PVC (NYY) 2 x 6 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10181-01
  Cu/PVC/PVC (NYY) 3 x 1.5 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10126-01
  Cu/PVC/PVC (NYY) 3 x 1.5 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10126-02
  Cu/PVC/PVC (NYY) 1 x 10 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10190-01
  Cu/PVC/PVC (NYY) 3 x 10 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10127-01
  Cu/PVC/PVC (NYY) 2 x 10 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10140-01
  Cu/PVC/PVC (NYY) 2 x 10 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10179-01
  Cu/PVC/PVC (NYY) 3 x 2.5 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10041-01
  Cu/PVC/PVC (NYY) 3 x 2.5 mm2 re 0.6/1(1.2)kV;Building Wire;21-10072-01
  Cu/PVC/PVC (NYY) 3 x 2.5 mm2 re 0.6/1(1.2)kV;Building Wire;21-10072-10
  Cu/PVC/PVC (NYY) 3 x 4 mm2 re 0.6/1(1.2)kV;Building Wire;21-10051-01
  Cu/PVC/PVC (NYY) 3 x 4 mm2 re 0.6/1(1.2)kV;Building Wire;21-10073-01
  Cu/PVC/PVC (NYY) 3 x 6 mm2 re 0.6/1(1.2)kV;Building Wire;21-10069-01
  Cu/PVC/PVC (NYY) 3 x 6 mm2 re 0.6/1(1.2)kV;Building Wire;21-10082-01
  Cu/PVC/PVC (NYY) 4 x 10 mm2 re 0.6/1(1.2)kV;Building Wire;21-10045-01
  Cu/PVC/PVC (NYY) 4 x 1.5 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10135-01
  Cu/PVC/PVC (NYY) 4 x 2.5 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10042-01
  Cu/PVC/PVC (NYY) 4 x 2.5 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10119-06
  Cu/PVC/PVC (NYY) 4 x 4 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10043-01
  Cu/PVC/PVC (NYY) 4 x 4 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10043-03
  Cu/PVC/PVC (NYY) 4 x 4 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10118-01
  Cu/PVC/PVC (NYY) 4 x 6 mm2 re 0.6/1(1.2)kV;Building Wire;21-10044-01
  Cu/PVC/PVC (NYY) 4 x 6 mm2 re 0.6/1(1.2)kV;Building Wire;21-10044-10
  Cu/PVC/PVC (NYY) 5 x 10 mm2 re 0.6/1(1.2)kV;Building Wire;21-10133-01
  Cu/PVC/PVC (NYY) 5 x 4 mm2 re 0.6/1(1.2)kV;Building Wire;21-10114-01
  Cu/PVC/PVC (NYY) 5 x 2.5 mm2 re 0.6/1(1.2)kV;Building Wire;21-10182-01
  Cu/PVC/PVC (NYY) 5 x 6 mm2 re 0.6/1(1.2)kV;Building Wire;21-10068-01
  Cu/PVC/PVC (NYY) 7 x 1.5 mm2 re 0.6/1(1.2)kV;Building Wire;21-10146-01
  Cu/PVC/SWA/PVC (NYRGbY) 2 x 1.5 mm2 re 0.6/1 (1.2)kV;Building Wire;21-10150-02
  Cu/PVC/SWA/PVC (NYRGbY) 2 x 2.5 mm2 re 0.6/1 (1.2)kV;Building Wire;21-10034-01
  Cu/PVC/SWA/PVC (NYRGbY) 2 x 10 mm2 re 0.6/1 (1.2)kV;Building Wire;21-10156-01
  Cu/PVC/SWA/PVC (NYRGbY) 2 x 6 mm2 re 0.6/1 (1.2)kV;Building Wire;21-10061-01
  Cu/PVC/SWA/PVC (NYRGbY) 16 x 1.5 mm2 re 0.6/1 (1.2)kV;Building Wire;21-10224-01
  Cu/PVC/SWA/PVC (NYRGbY) 3 x 1.5 mm2 re 0.6/1 (1.2)kV;Building Wire;21-10136-01
  Cu/PVC/SWA/PVC (NYRGbY) 3 x 10 mm2 re 0.6/1 (1.2)kV;Building Wire;21-10037-01
  Cu/PVC/SWA/PVC (NYRGbY) 3 x 2.5 mm2 re 0.6/1 (1.2)kV;Building Wire;21-10036-01
  Cu/PVC/SWA/PVC (NYRGbY) 3 x 2.5 mm2 re 0.6/1 (1.2)kV;Building Wire;21-10210-04
  Cu/PVC/SWA/PVC (NYRGbY) 3 x 4 mm2 re 0.6/1 (1.2)kV;Building Wire;21-10102-01
  Cu/PVC/SWA/PVC (NYRGbY) 3 x 6 mm2 re 0.6/1 (1.2)kV;Building Wire;21-10060-01
  Cu/PVC/SWA/PVC (NYRGbY) 4 x 10 mm2 re 0.6/1 (1.2)kV;Building Wire;21-10109-01
  Cu/PVC/SWA/PVC (NYRGbY) 4 x 1.5 mm2 re 0.6/1 (1.2)kV;Building Wire;21-10153-01
  Cu/PVC/SWA/PVC (NYRGbY) 4 x 2.5 mm2 re 0.6/1 (1.2)kV;Building Wire;21-10035-01
  Cu/PVC/SWA/PVC (NYRGbY) 4 x 2.5 mm2 re 0.6/1 (1.2)kV;Building Wire;21-10035-02
  Cu/PVC/SWA/PVC (NYRGbY) 4 x 4 mm2 re 0.6/1 (1.2)kV;Building Wire;21-10063-01
  Cu/PVC/SWA/PVC (NYRGbY) 4 x 4 mm2 re 0.6/1 (1.2)kV;Building Wire;21-10251-03
  Cu/PVC/SWA/PVC (NYRGbY) 4 x 6 mm2 re 0.6/1 (1.2)kV;Building Wire;21-10077-01
  Cu/PVC/SWA/PVC (NYRGbY) 4 x 6 mm2 re 0.6/1 (1.2)kV;Building Wire;21-10334-01
  Cu/PVC/SWA/PVC (NYRGbY) 5 x 2.5 mm2 re 0.6/1 (1.2)kV;Building Wire;21-10252-01
  Cu/PVC/SWA/PVC (NYRGbY) 5 x 4 mm2 re 0.6/1 (1.2)kV;Building Wire;21-10306-01
